Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy
1,1.098439691066742,1.1011327230013335,54.75,59.625
2,1.098910481929779,1.100095510482788,54.59375,59.625
3,1.0976131606101989,1.099098150546734,55.03125,59.625
4,1.097453112602234,1.098116948054387,55.28125,59.625
5,1.0954779720306396,1.0971628977702215,55.59375,59.625
6,1.0961779069900512,1.096235412817735,56.15625,59.5
7,1.094028458595276,1.0953293580275316,55.8125,59.625
8,1.0932689380645753,1.0944497768695538,56.4375,59.625
9,1.0907853031158448,1.0935866282536433,56.9375,59.625
10,1.0913535928726197,1.0927383991388173,56.75,59.5
11,1.0922483110427856,1.0918982854256263,56.9375,59.5
12,1.0906141114234924,1.0910760439359224,57.1875,59.625
13,1.0884347319602967,1.0902668879582331,56.78125,60.125
14,1.0871073722839355,1.089472092114962,58.4375,60.125
15,1.0871419548988341,1.0886878600487342,58.0625,60.25
16,1.0876250576972961,1.087939950136038,58.40625,60.625
17,1.0865099120140076,1.0871891700304472,58.78125,61.25
18,1.0863530683517455,1.0864583528958833,58.53125,60.125
19,1.0831853008270265,1.0857083247258112,59.625,60.375
20,1.0834127473831177,1.0849734361355121,59.78125,59.75
21,1.0812788772583009,1.0842326329304621,59.15625,60.0
22,1.0809520268440247,1.0834887302838838,60.0,59.5
23,1.080921859741211,1.0827429661383996,59.40625,59.875
24,1.0804029607772827,1.082009663948646,59.28125,60.5
25,1.0793558359146118,1.081279497880202,59.5,61.0
26,1.0781058359146118,1.0805358519920936,60.875,61.5
27,1.0776313185691833,1.0797762779089122,60.09375,61.25
28,1.0760751914978028,1.0790197940973134,59.96875,60.625
29,1.0772979474067688,1.0782674092512865,60.28125,60.75
30,1.0758594799041747,1.0775042955691998,60.96875,60.875
31,1.074350357055664,1.0767426582483144,61.0,61.25
32,1.0745559072494506,1.0759897323755117,60.40625,61.75
33,1.0730668091773987,1.0752476820578942,61.4375,62.125
34,1.0720267605781555,1.0744998363348155,61.28125,62.375
35,1.0711593437194824,1.0737195840248694,61.375,62.5
36,1.071727237701416,1.072962027329665,60.21875,62.125
37,1.0688600897789002,1.0721866901104267,61.5625,62.0
38,1.0681127572059632,1.0714131043507502,61.21875,62.125
39,1.0679079508781433,1.0706397661795983,61.5625,62.125
40,1.0665892195701598,1.0698765516281128,62.03125,62.125
41,1.0656401872634889,1.0691063679181612,61.15625,61.75
42,1.0639666843414306,1.0683243733185988,61.90625,62.0
43,1.0634458208084105,1.0675322642693152,60.9375,61.75
44,1.0636434245109558,1.0667546804134662,61.1875,61.75
45,1.0612564373016358,1.0659732543505156,62.78125,61.75
46,1.0607287859916688,1.0651713059498713,62.25,62.125
47,1.0616179370880128,1.0644002969448383,61.3125,61.875
48,1.0585902404785157,1.0636267295250525,62.375,61.75
49,1.0595423555374146,1.0628121082599347,63.125,61.625
50,1.0591697335243224,1.061995845574599,61.90625,61.625
51,1.0558379626274108,1.0612135116870587,62.96875,61.5
52,1.0568514227867127,1.0604312694989717,62.40625,61.625
53,1.0547515392303466,1.059656675045307,62.5,61.875
54,1.053156123161316,1.0588506643588727,62.4375,62.0
55,1.053687961101532,1.05807180588062,61.71875,61.875
56,1.0518093180656434,1.0572938277171209,62.6875,62.0
57,1.0520416736602782,1.056501947916471,61.75,62.125
58,1.0518285536766052,1.0557056206923265,62.65625,62.25
59,1.0506838965415954,1.0549065333146315,63.40625,62.0
60,1.0473213481903076,1.054117432007423,62.875,62.0
61,1.0484943521022796,1.0533334566996648,63.21875,61.75
62,1.0485165953636169,1.0525517280285175,62.78125,61.875
63,1.0450684118270874,1.0517671291644757,63.0625,61.75
64,1.0450080823898316,1.05096500653487,63.53125,61.625
65,1.044151554107666,1.0501464421932514,62.78125,61.5
66,1.043622043132782,1.0493283730286818,62.59375,61.5
67,1.0431383562088012,1.0484733764941876,62.78125,61.5
68,1.0421283507347108,1.0476508232263417,62.53125,62.125
69,1.0401644325256347,1.0468184581169715,63.0625,62.375
70,1.0384210932254792,1.0460174450507531,63.875,62.75
71,1.0376581621170045,1.045192186649029,63.3125,62.625
72,1.0369167840480804,1.0443701835779042,62.96875,62.625
73,1.036368842124939,1.0435274931100698,63.59375,62.5
74,1.0358499491214752,1.042698309971736,63.0,62.25
75,1.0346861720085143,1.0418808093437781,63.53125,62.0
76,1.033842420578003,1.0410641798606286,62.28125,62.125
77,1.0342182338237762,1.040252855190864,62.78125,62.125
78,1.0319835913181306,1.0394253318126385,63.25,62.125
79,1.0302688694000244,1.0386076615406916,63.59375,62.375
80,1.032745966911316,1.0377932374293988,63.40625,62.375
81,1.0280596017837524,1.0369671124678392,62.8125,62.375
82,1.0287826454639435,1.0361517346822298,63.3125,62.5
83,1.028112518787384,1.0353227532826936,62.84375,62.5
84,1.026779123544693,1.0345019560593824,63.0,62.625
85,1.02484312415123,1.0336740016937256,63.5,62.5
86,1.0242904341220855,1.0328662303777842,64.28125,62.5
87,1.02517693400383,1.032053461441627,63.3125,62.5
88,1.0233115303516387,1.0312528656079218,63.34375,62.5
89,1.022696968317032,1.0304300418266883,62.125,62.5
90,1.020999311208725,1.029629294688885,62.9375,62.375
91,1.0204295647144317,1.0288136555598333,63.6875,62.375
