Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train F1,Val F1
1,1.0997685718536376,1.10846981048584,32.21875,29.25,0.18830172412064636,0.159067626431019
2,1.073853263258934,1.0828368997573852,48.8125,48.5,0.3391249012487951,0.3432554690396737
3,1.0527599012851716,1.064276509284973,54.9375,51.625,0.3742263694626053,0.36397568778675743
4,1.028581142425537,1.047416982650757,57.9375,59.75,0.3894342395497416,0.3787161714744876
5,1.0111014282703399,1.034570164680481,58.46875,54.75,0.3915186239029287,0.38351400431840427
6,0.9954487174749375,1.0190604710578919,60.21875,58.25,0.40727843936804603,0.3999816269349134
7,0.9840055787563324,1.026811785697937,60.25,59.75,0.40923699173375455,0.3786545868347339
8,0.9704624891281128,1.0065950393676757,60.375,57.375,0.41173260816064267,0.39643155840535266
9,0.9487902021408081,1.0021373891830445,62.96875,59.625,0.4245666488876935,0.406648405218441
10,0.940564626455307,1.001908359527588,62.34375,58.875,0.42365130547718216,0.40333667689402875
11,0.9386990076303482,1.0067805862426757,62.5,57.75,0.4260970606681072,0.398978288633461
12,0.9194612020254135,1.0195212149620057,63.125,62.5,0.4294483119994011,0.41891767167117894
13,0.9126342099905014,1.008132348060608,59.3125,57.5,0.5001777562093079,0.49547153240029584
14,0.902649775147438,1.003458001613617,58.9375,48.5,0.4983876399829518,0.43127287796589436
15,0.9025433534383773,1.0028741478919982,57.5,55.5,0.49176354832241315,0.48238199863136916
16,0.8837010216712952,1.0251247096061706,56.5625,58.375,0.4780376205134567,0.49728055841352453
17,0.8867486053705216,1.0230985856056214,57.4375,56.625,0.49125872100999873,0.484403369703265
18,0.8711306726932526,1.0364941430091859,57.875,57.625,0.4988008342122699,0.49679977444107815
19,0.8663404160737991,1.04551659822464,56.5625,57.875,0.48739802651568587,0.49179405190360015
20,0.8619908535480499,1.0691033291816712,56.96875,57.125,0.4890969464708575,0.4777055674518202
21,0.859477368593216,1.0515365195274353,57.46875,57.0,0.4938761298690973,0.4835875869977761
22,0.8499688351154328,1.0349051117897035,58.1875,55.875,0.5081748717255162,0.4903787036597147
23,0.8526393121480942,1.0158106732368468,57.0625,49.0,0.5003261173590431,0.4340029448439309
24,0.8443270289897918,1.0237665915489196,57.125,49.75,0.4989145557676376,0.44541957237383073
25,0.8308884000778198,1.0371004104614259,58.34375,52.875,0.511957863116092,0.46297362678791515
26,0.8156157368421555,1.0690891313552857,59.75,55.625,0.5281326660667675,0.48778018665161954
27,0.820361105799675,1.0616614651679992,58.59375,53.25,0.5181893404616839,0.47028288746533625
