Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy
1,1.0967418622970582,1.0977567526010366,26.75,14.75
2,1.0979471611976623,1.097012574856098,26.34375,17.375
3,1.0962049317359925,1.0962211260428796,29.90625,22.625
4,1.0953278923034668,1.0954753802372859,32.5,30.0
5,1.0958457589149475,1.0947426832639253,33.78125,36.0
6,1.0941882038116455,1.0939903075878437,35.65625,41.5
7,1.0937944388389587,1.0932461390128503,38.59375,46.5
8,1.092561628818512,1.0925263258127065,39.875,50.875
9,1.0920173692703248,1.091838341492873,40.90625,52.0
10,1.0914161372184754,1.0911481380462646,42.8125,53.625
11,1.091670274734497,1.0904609973614032,44.3125,54.75
12,1.0904004883766174,1.0897597257907574,45.125,55.625
13,1.0902150106430053,1.0890675141261175,46.40625,57.125
14,1.0891827988624572,1.0883797865647535,47.625,58.25
15,1.0890349078178405,1.0877170746143048,48.75,58.625
16,1.0869933485984802,1.0870517217195952,51.1875,58.875
17,1.0870526075363158,1.0863739343789907,51.125,59.625
18,1.0851775574684144,1.0856890219908495,52.875,60.25
19,1.0837248277664184,1.0849993228912354,53.0,60.375
20,1.083409309387207,1.0843165379304152,53.59375,60.5
21,1.081566243171692,1.0836308644368098,55.09375,60.5
22,1.0820993733406068,1.08295371899238,55.0625,60.25
23,1.081987237930298,1.0822769403457642,54.84375,60.5
24,1.0807904148101806,1.0815971447871282,56.375,61.125
25,1.0795508432388305,1.080922475227943,55.9375,61.125
26,1.0796623158454894,1.0802245690272405,56.53125,61.25
27,1.0782616567611694,1.0795253423544078,57.3125,60.875
28,1.0775726842880249,1.0788060335012584,56.90625,61.5
29,1.0755937433242797,1.0781119878475482,57.84375,61.75
30,1.0756399464607238,1.0774039121774526,58.09375,61.625
31,1.07564462184906,1.0766922052089984,58.21875,61.625
32,1.0735570311546325,1.0759809475678663,59.21875,61.875
33,1.0734340834617615,1.0752545320070708,58.4375,61.875
34,1.0722233772277832,1.074542788358835,59.5,62.25
35,1.0706575107574463,1.0738226908903856,59.15625,61.875
36,1.0709616494178773,1.0730949273476234,59.75,62.25
37,1.070151686668396,1.0723318778551543,60.125,62.375
38,1.0685288548469543,1.071576476097107,61.25,62.75
39,1.0681073427200318,1.070815691581139,60.5625,62.875
40,1.0685311269760132,1.0700564476159902,60.53125,62.875
41,1.0659979510307311,1.0693062452169566,60.0625,62.75
42,1.0668502259254455,1.0685441218889677,60.96875,62.625
43,1.06457102060318,1.0677901964921217,61.40625,63.0
44,1.0633538031578065,1.067032007070688,60.96875,63.25
45,1.0622822380065917,1.066270030461825,60.5625,63.375
46,1.0633913803100585,1.06549464739286,61.5,63.125
47,1.0606187987327576,1.064710626235375,61.25,63.0
48,1.0605333971977233,1.0639193058013916,62.125,63.0
49,1.059516384601593,1.0631065276952891,60.625,63.0
50,1.0576254153251647,1.0623152989607592,62.21875,62.75
51,1.0568851017951966,1.0615266653207631,61.28125,62.375
52,1.056267282962799,1.0607525018545299,61.59375,62.375
53,1.0556126761436462,1.059979457121629,61.0625,62.625
54,1.0541915822029113,1.059188411786006,62.125,62.625
55,1.0544116806983947,1.0584014470760639,61.28125,62.5
56,1.0524584174156189,1.0576054591398973,62.375,62.5
57,1.0520091295242309,1.056809397844168,61.46875,62.125
58,1.0516274929046632,1.0560055787746723,61.9375,62.125
59,1.048850450515747,1.0551883715849657,62.28125,62.125
60,1.0473363280296326,1.054353851538438,62.09375,62.125
61,1.047971785068512,1.0535417244984553,62.28125,62.0
62,1.0472747707366943,1.052729634138254,61.03125,61.75
63,1.0459691596031189,1.051916553423955,61.90625,62.125
64,1.0455114686489104,1.05108707684737,61.84375,62.0
65,1.0445618534088135,1.050281102840717,61.4375,61.875
66,1.0430473589897156,1.0494619883023775,61.71875,61.5
67,1.041788512468338,1.0486251757695124,62.09375,61.125
68,1.0410385704040528,1.0477938560339122,60.59375,61.25
69,1.040739312171936,1.0469659200081458,61.375,61.375
70,1.0396339094638825,1.0461619450495794,61.5,61.375
