Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy
1,0.9973987579345703,0.9132201826572418,55.0625,59.625
2,0.8929062271118164,0.8738483130931854,59.71875,59.625
3,0.8718242645263672,0.8535406696796417,59.78125,59.625
4,0.8489271545410156,0.8336189579963684,60.125,60.125
5,0.8275278091430665,0.8146059882640838,60.875,61.125
6,0.8083678817749024,0.7954460537433624,63.0,63.625
7,0.7885910606384278,0.7779516017436982,64.90625,65.375
8,0.7728879547119141,0.7621162617206574,66.09375,65.875
9,0.7552824115753174,0.7502280032634735,67.5,66.625
10,0.744708023071289,0.7395900177955628,67.15625,66.625
11,0.7363509130477905,0.7324111425876617,68.53125,67.25
12,0.7256375503540039,0.7237469685077668,69.09375,67.25
13,0.715844259262085,0.7180737280845642,69.09375,67.875
14,0.7115043902397156,0.7138097304105758,69.25,68.125
15,0.7049404287338257,0.7107701569795608,69.59375,68.375
16,0.7003895044326782,0.7061287981271743,70.46875,68.375
17,0.696566960811615,0.7040198194980621,70.75,69.125
18,0.6910887742042542,0.7014142346382141,70.15625,69.0
19,0.6877370798587799,0.6994496810436249,70.6875,70.0
20,0.6855810451507568,0.7014089900255204,71.09375,68.875
21,0.6824626684188843,0.6972935950756073,70.84375,69.5
22,0.6798501741886139,0.6948341572284699,70.625,69.875
23,0.6744889843463898,0.6950145632028579,70.46875,69.875
24,0.6784422242641449,0.69297079205513,70.78125,70.0
25,0.6712250983715058,0.6939905607700347,71.34375,71.125
26,0.6687357759475708,0.6924454927444458,71.875,70.875
27,0.6680307161808013,0.6932249051332474,70.96875,70.625
28,0.6704427629709244,0.693577481508255,70.375,70.875
29,0.6627170735597611,0.6900506806373596,71.1875,69.5
30,0.6596855914592743,0.6904459339380264,71.625,69.75
31,0.6602667140960693,0.6911168038845062,71.28125,69.75
32,0.6589687812328339,0.6902838778495789,72.21875,69.5
33,0.6578415882587433,0.6939282590150833,72.09375,70.125
34,0.6524150291085243,0.6915636509656906,71.59375,70.0
