Epoch,Train Loss,Val Loss
1,1.0230307006835937,0.9592547921034006
2,0.92385986328125,0.8975039858084458
3,0.8843139266967773,0.8699805415593661
4,0.8662996292114258,0.8540715254270114
5,0.8487277603149415,0.8397334859921382
6,0.8355780029296875,0.8263010474351736
7,0.8184675598144531,0.8124821323614854
8,0.807056770324707,0.799968238060291
9,0.7917244720458985,0.7876140154325045
10,0.7806250381469727,0.7775193177736722
11,0.763193531036377,0.7667774970714862
12,0.7512487888336181,0.7576491511785067
13,0.74343355178833,0.7510627874961266
14,0.7352390480041504,0.7445256389104403
15,0.722881155014038,0.7394784551400405
16,0.7196300268173218,0.7353761838032649
17,0.7144548034667969,0.7320319414138794
18,0.7067463970184327,0.7290336810625516
19,0.7063517570495605,0.7269504437079797
20,0.7021329927444458,0.7241772871751052
21,0.6982578468322754,0.72201485817249
22,0.6922159993648529,0.7206478393994845
23,0.6922871923446655,0.7193377980819116
24,0.6864711213111877,0.718777596950531
25,0.6858306431770325,0.7172198203893808
26,0.6815443015098572,0.7161610401593722
27,0.6795240592956543,0.715547997217912
28,0.6790038299560547,0.7146679713175847
29,0.6778400552272796,0.7139505789830134
30,0.6713266539573669,0.7136432941143329
31,0.6689969706535339,0.7120622992515564
32,0.6698093867301941,0.7128675029827998
33,0.6684827506542206,0.7122169045301584
34,0.6650890731811523,0.7129404728229229
35,0.6644871830940247,0.7122919926276574
36,0.6665555369853974,0.713172013943012
37,0.6660531795024872,0.7112197325779841
38,0.66173419713974,0.7119286106182978
39,0.6581002831459045,0.7110148943387545
40,0.6602938616275787,0.7109949863873996
41,0.6530144608020783,0.7116702061433059
42,0.6570907950401306,0.7109953898649949
43,0.6539833962917327,0.711768585901994
44,0.6521674942970276,0.7114758720764747
45,0.6497207510471344,0.7125593698941745
46,0.650430862903595,0.7130588430624741
47,0.6503965443372727,0.7138796448707581
48,0.6439667558670044,0.712402160351093
49,0.6416011428833008,0.7112763478205755
50,0.6429363894462585,0.7098330855369568
