Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train F1,Val F1
1,1.0669179999828338,1.0308400189876556,50.125,59.5,0.3913633970154342,0.507976584613738
2,0.9804219064116478,0.9834949278831482,60.90625,59.375,0.5335941197461737,0.5350677804264953
3,0.9271855774521828,0.944690284729004,60.46875,58.125,0.5420359236429796,0.5267184183770053
4,0.8843164658546447,0.9226932370662689,63.0,62.25,0.5713033430747979,0.5561340245724063
5,0.8670850372314454,0.8884421098232269,62.40625,58.125,0.5666915360701582,0.5387884521489249
6,0.8162908267974853,0.8697936928272247,64.90625,60.875,0.5999021174750548,0.5543482670214838
7,0.8001577401161194,0.8764382708072662,65.53125,61.875,0.6006495688130054,0.5605212969538179
8,0.7941867762804031,0.8602249443531036,64.96875,63.375,0.5997142594292616,0.5773434253133878
9,0.7646126087009907,0.891363377571106,67.78125,64.0,0.6257511641902966,0.5752373359466493
10,0.7622973097860813,0.8541522395610809,67.90625,60.875,0.6257689924616604,0.5620244905181495
11,0.7400430788099766,0.8576049309968948,67.75,60.125,0.6294376583404583,0.5616036296675936
12,0.7285504643619061,0.8516941434144973,69.4375,62.25,0.6469142231338533,0.5725384068860334
13,0.7190927515923977,0.8553513288497925,68.9375,63.125,0.6398352794452444,0.5781184375324816
14,0.7076353268325328,0.838113322854042,70.1875,64.5,0.6569007624653277,0.5855481750567934
15,0.6979680639505387,0.8442831015586854,69.9375,64.25,0.6554215889349977,0.5840263879888825
16,0.690357563495636,0.8389282560348511,71.84375,61.625,0.6706842693352737,0.5704370615448223
17,0.6792944486439229,0.8519597142934799,71.28125,64.625,0.6650663332691431,0.5865779754453987
18,0.6769364835321903,0.8656613117456436,71.0625,66.75,0.6645947975872065,0.5923628003821871
19,0.6588075917959213,0.84031842648983,71.4375,65.75,0.6709040241220912,0.5911711616366512
20,0.6557903365790844,0.8349896913766861,72.71875,64.875,0.6849789119500479,0.5911507925824793
21,0.6461136770248413,0.8419952917099,73.78125,63.875,0.6920849295524646,0.5815102934053847
22,0.6334797497093677,0.8310112738609314,74.03125,63.875,0.70005332119956,0.5811857171230032
23,0.6288400898873806,0.8481952792406082,72.4375,65.25,0.6863027740560314,0.5899374087109047
24,0.632525440454483,0.8438987219333649,73.71875,63.375,0.693648798625654,0.5863437167356557
25,0.6175763048231602,0.847808266878128,74.03125,64.375,0.7002925341934546,0.591826411507932
26,0.612903467565775,0.8337662315368652,74.75,64.5,0.7077653830307048,0.5838899399950986
27,0.6122360956668854,0.8425493919849396,73.5625,66.25,0.7003071350042722,0.5934535340892745
28,0.607363703250885,0.855582469701767,74.0625,65.375,0.7038554394241981,0.5928036119467729
29,0.6102560931444168,0.8258195799589158,75.5,63.5,0.7125189151424943,0.5829608997156915
30,0.5972346553206443,0.8396996510028839,74.9375,65.0,0.7114440139002989,0.5896946012447533
31,0.5947374913096428,0.8395425486564636,75.75,65.375,0.7178211468534063,0.5930418529840709
32,0.5844459722936154,0.8366323179006576,76.15625,64.75,0.724877404150857,0.5909589970558989
33,0.581296988427639,0.8383687853813171,75.59375,65.125,0.7216916936085349,0.5914173756784727
34,0.5834966629743576,0.8391975498199463,75.125,64.875,0.7155258878894846,0.5884969495883111
35,0.5754122515022755,0.8479297351837158,76.65625,65.75,0.7327344930729072,0.5961797229869519
36,0.572608364224434,0.8317767322063446,75.8125,64.5,0.7193842731584733,0.5859665519250261
37,0.5716078335791827,0.8482714980840683,76.09375,65.5,0.725092376356188,0.5956542394288825
38,0.5760497377812862,0.8382798272371292,76.0,65.375,0.7232692737308871,0.5914115971264536
39,0.5679065177589655,0.840721880197525,76.28125,65.0,0.7275254846402631,0.5911280023070901
40,0.5661581283807755,0.8421689140796661,76.0625,65.0,0.7312118756513933,0.5899697601790895
41,0.5618082171678543,0.8386619579792023,76.75,65.375,0.734424684124467,0.5915328519394757
42,0.5627212661504746,0.8390909898281097,76.4375,65.0,0.7302131674915148,0.5908940221486075
43,0.5603218680620193,0.8426303708553314,76.46875,65.125,0.7293335649055913,0.5907313298617646
44,0.5674568970501422,0.8436640083789826,76.78125,65.25,0.7329384776912603,0.591605010908481
