Epoch,Train Loss,Val Loss,Train Accuracy,Val Accuracy,Train F1,Val F1
1,1.1038361702859403,0.9149451419711113,50.53125,62.75,0.4378608667582346,0.5566709396982064
2,0.8804784101620317,0.8724879968166351,62.6875,67.625,0.5609355318748904,0.5811295516423721
3,0.8190697974711657,0.859687349498272,64.59375,56.125,0.588635858840497,0.5306817425784732
4,0.7972543212771416,0.8571083661913872,66.3125,68.0,0.603006430447656,0.5778428466248159
5,0.7711112986505032,0.8413436791300773,66.75,67.25,0.6066049875506329,0.5864190189455262
6,0.7522637669369578,0.8193290105462074,68.65625,61.625,0.6252195897070286,0.5567176296778995
7,0.7532008495554328,0.8208878859877586,68.46875,65.75,0.6224623483468866,0.5931084877456968
8,0.7494225171208382,0.9025521197915077,68.03125,66.375,0.6207246592375947,0.58457297727553
9,0.7088895741850137,0.8353802374005318,70.53125,64.375,0.6511312298223787,0.5880309082720455
10,0.6926918332651257,0.8489949479699135,70.46875,63.875,0.6575589009131279,0.5641701718040472
11,0.675586108006537,0.8969722165167332,71.53125,66.25,0.666554711396397,0.5994243398143309
12,0.6536515165492892,0.8488665410876274,71.0625,64.75,0.6634828563976947,0.5898942235853879
13,0.6447597515955568,0.8530444718897343,72.6875,64.875,0.6783034925852137,0.5834383142854639
14,0.6263872614130378,0.8348988696932793,72.875,65.0,0.6845086485900559,0.5724375149035429
15,0.6592876664921641,0.8702698636054993,70.75,67.75,0.6600829663472971,0.5969949220555673
16,0.572957008369267,0.9195617806911468,76.21875,67.25,0.719232840931959,0.614694903613763
17,0.5676569994166494,0.8673517125844955,74.78125,66.125,0.7034982456175536,0.5987256408567151
18,0.547848575245589,1.0219285206496715,74.8125,67.875,0.7119391211075969,0.6017884976550268
19,0.5258939461410046,0.9157895849645138,77.46875,65.625,0.738379055462683,0.5954114554718891
20,0.5532260594703257,0.9626989941298961,75.46875,66.25,0.7201889561393711,0.5930419346958216
21,0.5331827476806938,0.9292432215809822,75.59375,64.5,0.7149864594058585,0.5806228637761618
